algorithm,size,comparisons,assignments,time_ms
HEAP_SORT,1000,48045,48725,0.1704
TRIPLE_HEAP_SORT,1000,46487,34592,0.1757
MERGE_SORT,1000,42875,23948,0.2219
MERGE_SORT_MODE,1000,31560,14043,0.1152
INSERTION_SORT,1000,481550,242776,0.7831
INSERTION_SORT_MOD,1000,483595,244235,0.9043
HEAP_SORT,5000,298270,306847,0.8162
TRIPLE_HEAP_SORT,5000,283388,214283,0.7177
MERGE_SORT,5000,261302,143612,0.7741
MERGE_SORT_MODE,5000,169872,82325,0.6059
INSERTION_SORT,5000,12489482,6254742,16.2931
INSERTION_SORT_MOD,5000,12499416,6262313,16.5131
HEAP_SORT,10000,645680,667643,1.7762
TRIPLE_HEAP_SORT,10000,607383,462809,1.7396
MERGE_SORT,10000,562538,307228,1.6639
MERGE_SORT_MODE,10000,387085,186025,1.1679
INSERTION_SORT,10000,50359321,25199661,64.2163
INSERTION_SORT_MOD,10000,50379254,25214734,59.8515
HEAP_SORT,25000,1781035,1852819,4.9083
TRIPLE_HEAP_SORT,25000,1668814,1277585,4.0921
MERGE_SORT,25000,1538452,834460,4.2291
MERGE_SORT_MODE,25000,1037827,507532,3.1545
INSERTION_SORT,25000,310385180,155242591,385.914
INSERTION_SORT_MOD,25000,310435125,155280150,385.151
HEAP_SORT,50000,3811095,3979599,11.4318
TRIPLE_HEAP_SORT,50000,3564855,2736910,9.6916
MERGE_SORT,50000,3278125,1768924,9.6384
MERGE_SORT_MODE,50000,2086534,1049661,5.4956
INSERTION_SORT,50000,1253125543,626662775,1495.75
INSERTION_SORT_MOD,50000,1253225624,626737698,1573.59
HEAP_SORT,75000,5928875,6203777,18.5782
TRIPLE_HEAP_SORT,75000,5531113,4259139,14.8447
MERGE_SORT,75000,5089348,2737852,15.8024
MERGE_SORT_MODE,75000,3334121,1672525,8.7176
INSERTION_SORT,75000,2817150460,1408725233,3358.26
INSERTION_SORT_MOD,75000,2817300931,1408837266,3423.63
HEAP_SORT,100000,8118845,8505104,22.0541
TRIPLE_HEAP_SORT,100000,7548303,5820375,19.4435
MERGE_SORT,100000,6954542,3737852,19.719
MERGE_SORT_MODE,100000,4587094,2315794,12.5306
INSERTION_SORT,100000,5000221794,2500310900,5954.63
INSERTION_SORT_MOD,100000,5000421785,2500460913,6043.1
