algorithm,size,time_ms
BUCKET_SORT_STANDARIZED,1000,0.242
QUICK_SORT,1000,0.0922
DUAL_PIVOT_QUICK_SORT,1000,0.0907
BUCKET_SORT_STANDARIZED,5000,0.7268
QUICK_SORT,5000,0.541
DUAL_PIVOT_QUICK_SORT,5000,0.4086
BUCKET_SORT_STANDARIZED,10000,1.0515
QUICK_SORT,10000,0.9514
DUAL_PIVOT_QUICK_SORT,10000,0.8303
BUCKET_SORT_STANDARIZED,25000,2.2493
QUICK_SORT,25000,2.6666
DUAL_PIVOT_QUICK_SORT,25000,2.4106
BUCKET_SORT_STANDARIZED,50000,4.0733
QUICK_SORT,50000,6.0964
DUAL_PIVOT_QUICK_SORT,50000,4.6716
BUCKET_SORT_STANDARIZED,75000,5.9697
QUICK_SORT,75000,11.1663
DUAL_PIVOT_QUICK_SORT,75000,7.4112
BUCKET_SORT_STANDARIZED,100000,6.8731
QUICK_SORT,100000,14.9764
DUAL_PIVOT_QUICK_SORT,100000,9.692
